sequence_id	individual_id	Folder	simple_id	supplier_id	seq_depth	subset	exclude	genus	sex	clade	location	sublocation	undescribed	source	calcua_read_location	seq_source	read_type	calcua_alignment_location_fAstCal1.2	study	study_id
ERR1255542	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255542_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255542_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255543	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255543_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255543_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255544	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255544_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255544_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255545	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255545_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255545_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255546	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255546_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255546_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255547	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255547_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255547_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255548	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255548_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255548_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255549	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255549_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255549_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255550	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255550_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255550_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255551	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255551_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255551_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255552	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255552_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255552_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255553	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255553_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255553_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255554	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255554_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255554_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255583	Lyn_par_LYNX9	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255583_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255583_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255584	Lyn_par_LYNX9	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255584_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255584_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255585	Lyn_par_LYNX9	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255585_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255585_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255586	Lyn_par_LYNX9	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255586_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255586_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071633	Lyn_ruf_LRU30	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071633_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071633_2.fastq.gz		fqz_1_2		Felidhet	
SRR17978066	Lyn_ruf_mLynRuf1.p	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR17978066_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR17978066_2.fastq.gz		fqz_1_2		Felidhet	
SRR13774414	Neo_dia_diardi2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774414_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774414_2.fastq.gz		fqz_1_2		Felidhet	
SRR13774415	Neo_dia_diardi2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774415_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774415_2.fastq.gz		fqz_1_2		Felidhet	
SRR13774416	Neo_neb_nebulosa2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774416_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774416_2.fastq.gz		fqz_1_2		Felidhet	
SRR13774417	Neo_neb_nebulosa2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774417_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13774417_2.fastq.gz		fqz_1_2		Felidhet	
SRR11286173	Neo_neb_Rhu	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11286173_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11286173_2.fastq.gz		fqz_1_2		Felidhet	
SRR11321048	Neo_neb_Rhu	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11321048_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11321048_2.fastq.gz		fqz_1_2		Felidhet	
SRR5043307	Oto_man_Katya_Oman10	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5043307_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5043307_2.fastq.gz		fqz_1_2		Felidhet	
SRR5043308	Oto_man_Katya_Oman10	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5043308_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5043308_2.fastq.gz		fqz_1_2		Felidhet	
SRR5435820	Pan_leo_Atul	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5435820_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5435820_2.fastq.gz		fqz_1_2		Felidhet	
SRR5435822	Pan_leo_Atul	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5435822_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR5435822_2.fastq.gz		fqz_1_2		Felidhet	
SRR10009886	Pan_leo_Brooke	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR10009886_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR10009886_2.fastq.gz		fqz_1_2		Felidhet	
SRR22515613	Pan_leo_Hubert	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22515613_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22515613_2.fastq.gz		fqz_1_2		Felidhet	
SRR836370	Pan_leo_SnowGirl	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR836370_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR836370_2.fastq.gz		fqz_1_2		Felidhet	
SRR836361	Pan_leo_SunDol	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR836361_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR836361_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298150	Pan_onc_bPon052	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298150_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298150_2.fastq.gz		fqz_1_2		Felidhet	
SRR4444360	Pan_onc_bPon309	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR4444360_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR4444360_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298149	Pan_onc_bPon378	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298149_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298149_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298148	Pan_onc_bPon395	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298148_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298148_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298146	Pan_onc_bPon411	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298146_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298146_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298145	Pan_onc_bPon460	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298145_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298145_2.fastq.gz		fqz_1_2		Felidhet	
SRR22298144	Pan_onc_bPon462	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298144_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR22298144_2.fastq.gz		fqz_1_2		Felidhet	
SRR11097154	Pan_onc_DNA512	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11097154_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR11097154_2.fastq.gz		fqz_1_2		Felidhet	
SRR14572000	Pan_onc_PanOnc_BS21	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR14572000_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR14572000_2.fastq.gz		fqz_1_2		Felidhet	
SRR3042211	Pan_par_AmurLeopard_1	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3042211_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3042211_2.fastq.gz		fqz_1_2		Felidhet	
SRR3042212	Pan_par_AmurLeopard_2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3042212_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3042212_2.fastq.gz		fqz_1_2		Felidhet	
ERR5671313	Pan_par_Bhagya	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671313_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671313_2.fastq.gz		fqz_1_2		Felidhet	
SRR3043979	Pan_par_Maewha	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3043979_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3043979_2.fastq.gz		fqz_1_2		Felidhet	
SRR3041431	Pan_par_Maewha	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3041431_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR3041431_2.fastq.gz		fqz_1_2		Felidhet	
ERR5671314	Pan_par_Namibia	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671314_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671314_2.fastq.gz		fqz_1_2		Felidhet	
ERR5671316	Pan_par_Zambia	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671316_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR5671316_2.fastq.gz		fqz_1_2		Felidhet	
SRR13647644	Pan_tig_AMU4	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13647644_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13647644_2.fastq.gz		fqz_1_2		Felidhet	
